,사업화희망분야,장르,제목,작가,조회수
0,만화(웹툰)드라마 외 ,SF/판타지역사픽션(팩션) 외,북두의 하늘,벼리,0
1,만화(웹툰)애니메이션 외 ,미스터리가족/성장/아동,통조림적 생애,양은실,1
2,웹드라마드라마 외 ,미스터리기타(코믹 스릴러),미지의 방역,유재영,1
3,드라마웹드라마 외 ,SF/판타지코미디,천국에서 사랑을 증명하다,조이,2
4,영화 ,전쟁로맨스/멜로,사랑 소설,지후,3
5,드라마영화 외 ,역사픽션(팩션)로맨스/멜로,후궁의 반란,김미숙,1
6,영화웹드라마 외 ,스릴러미스터리 외,죄와벌 ,송인유,41
7,영화드라마 외 ,스릴러추리,궤적_범인이 남긴 자국,김민수,4
8,만화(웹툰)기타(웹소설) 외 ,공포무협 외,파사,창,1
9,드라마만화(웹툰) 외 ,SF/판타지역사픽션(팩션) 외,하늘은 붉은달 ,이지원,0
10,만화(웹툰)영화 외 ,공포스릴러 외,<목격자를 찾습니다>,안교찬,241
11,영화만화(웹툰) 외 ,스릴러추리 외,<청송의 밤> ,안교찬,381
12,영화만화(웹툰) 외 ,스릴러추리 외,<택배>,안교찬,365
13,만화(웹툰)웹드라마 외 ,로맨스/멜로코미디,<야동 보는 여자>,안교찬,245
14,출판공연 외 ,미스터리가족/성장/아동,바라,정감,3
15,출판드라마 외 ,미스터리SF/판타지,향수,이성화,0
16,영화드라마 ,미스터리역사픽션(팩션),권력자들,김아론,3
17,출판만화(웹툰) 외 ,가족/성장/아동,도하의 그믐 여행,임어진,0
18,출판영화 외 ,가족/성장/아동,바이올리니스트,이사무엘,3
19,드라마영화 외 ,가족/성장/아동코미디,암호명 요나,일호,0
20,공연영화 외 ,추리미스터리 외,일기쓰는 남자(조선의 셜록 홈즈),정진,0
21,영화드라마 외 ,SF/판타지가족/성장/아동,예술 범죄,WOONG,13
22,영화만화(웹툰) ,공포,사립 지옥고교 ,이태경,1956
23,영화드라마 외 ,추리미스터리 외,오키나와,문성제,2
24,영화 ,스릴러스포츠 외,OB들,유혜민,26
25,드라마웹드라마 외 ,SF/판타지,"원래, 인생은 갈등이야",이정관,31
26,공연만화(웹툰) 외 ,SF/판타지가족/성장/아동 외,생명수를 찾아서,이든,2
27,기타(이야기 카드)출판 ,가족/성장/아동기타(스토리텔링),득량 해평리,종욱,3
28,영화만화(웹툰) 외 ,추리가족/성장/아동 외,명예시민,리앤제이,1
29,만화(웹툰)웹드라마 외 ,SF/판타지역사픽션(팩션) 외,어쩌다 홀려서,한수옥,12
30,영화웹드라마 ,액션/어드벤쳐,택시맨 ,송인유,136
31,공연영화 외 ,SF/판타지무협,갈림길,오금숙,6
32,영화 ,무협,호송,박상욱,1
33,만화(웹툰)드라마 외 ,추리역사픽션(팩션) 외,보패전쟁(寶貝戰爭),모성진,10
34,드라마웹드라마 외 ,SF/판타지,나는 혼자서 죽었어,이정관,18
35,드라마웹드라마 외 ,스릴러,현재 사람들 : 세 번째 이야기,이정관,14
36,웹드라마영화 외 ,SF/판타지로맨스/멜로 외,그의 뇌가 돌아왔다.,이은영,17
37,영화기타(웹영화) ,스릴러,다알리아,서보경,5
38,드라마웹드라마 외 ,스릴러SF/판타지 외,크리스탈러브,김차애,11
39,영화애니메이션 외 ,스릴러미스터리,-안 개 - 엄마를 살해한 남자(-Lostmist),-N,171
40,영화드라마 외 ,공포스릴러 외,구원자,Director,330
41,출판애니메이션 외 ,SF/판타지로맨스/멜로 외,이루의 선택,윤혜숙,14
42,영화웹드라마 ,코미디,강변북로 구리방향,서커스,24
43,만화(웹툰)애니메이션 외 ,코미디,우리들은 아름다워,근육맨,12
44,영화드라마 외 ,전쟁,나를 강하게 때려줘,이정관,25
45,영화드라마 외 ,스릴러,내가 빨리 집에 가야해,이정관,20
46,영화드라마 외 ,공포,셀룰러 메모리 : 밤에 눈을 뜨지마,이정관,24
47,영화드라마 외 ,SF/판타지,바이올리니스트,이정관,49
48,드라마영화 ,로맨스/멜로가족/성장/아동,먼길,윤서경,3
49,드라마영화 외 ,가족/성장/아동,노우 디볼스,이솔,17
50,드라마영화 외 ,공포미스터리 외,영매요리사,최종구,27
51,드라마영화 ,로맨스/멜로기타(논픽션),또 하나의 비상,김유태,2862
52,영화드라마 외 ,SF/판타지로맨스/멜로 외,숨,무하,92
53,영화만화(웹툰) ,무협액션/어드벤쳐,뿔(HORN),김은주,7
54,만화(웹툰)기타(웹소설) ,SF/판타지역사픽션(팩션) 외,스페이스 1519,김은주,44
55,만화(웹툰)드라마 외 ,공포미스터리 외,고마워 미안해,배민석,9
56,드라마출판 외 ,SF/판타지로맨스/멜로 외,당신의... 죽는 날을 봐드립니다.,김나윤,71
57,영화만화(웹툰) 외 ,역사픽션(팩션)가족/성장/아동,다섯명의 발자욱,권양헌,11
58,영화드라마 외 ,스릴러추리 외,<페이스(face)>,안교찬,900
59,영화출판 외 ,스릴러추리 외,<귀향(歸鄕)>,안교찬,95
60,영화애니메이션 ,SF/판타지가족/성장/아동 외,코마 : 삶과 죽음의 경계에서,이주헌,17
61,영화만화(웹툰) 외 ,스릴러미스터리,<아름다운이별>,안교찬,67
62,영화만화(웹툰) 외 ,SF/판타지,그라다,구고,20
63,영화드라마 외 ,로맨스/멜로,네버어게인(Never Again),구고,19
64,영화드라마 외 ,기타(드라마),유어낫어롱(You were not wrong),구고,14
65,웹드라마드라마 외 ,기타(드라마),머니(Money),구고,15
66,만화(웹툰)웹드라마 외 ,기타(드라마),취준 도사,이루다,3
67,웹드라마드라마 외 ,로맨스/멜로코미디,웰컴투더정글,노유진,4
68,영화만화(웹툰) 외 ,SF/판타지액션/어드벤쳐,타임스틱 어드벤처,이현종,61
69,만화(웹툰)출판 외 ,스릴러SF/판타지,칼로프: 제로의 역습,김들,10
70,영화드라마 외 ,전쟁역사픽션(팩션) 외,스탑퍼(The Stopper),홍강의,50
71,영화 ,공포미스터리,알뜨르 비행장,고진용,16
72,영화 ,스릴러미스터리 외,신도시,김병준,16
73,만화(웹툰)드라마 외 ,SF/판타지무협 외,파수꾼들,이창영,4
74,영화드라마 ,로맨스/멜로액션/어드벤쳐,명수 수정2고,김작가씨,3
75,영화드라마 외 ,로맨스/멜로가족/성장/아동,흔한연애 드문사랑,순영,6
76,출판드라마 외 ,전쟁역사픽션(팩션) 외,5000-결사대,천자,81
77,드라마영화 외 ,스릴러기타(복수),수인[囚人],천자,163
78,만화(웹툰)출판 외 ,기타(드라마),[자해소녀],이상가,12
79,드라마출판 ,역사픽션(팩션)로맨스/멜로,재인과 황제,위수정,49
80,영화웹드라마 외 ,미스터리SF/판타지,왓에버유원트 닷 컴,이수연,9
81,영화드라마 외 ,공포스릴러 외,시화호,우아한슬픔,278
82,영화만화(웹툰) 외 ,스릴러액션/어드벤쳐,라이브,진익순,78
83,영화웹드라마 외 ,공포스릴러 외,나락,우아한슬픔,51
84,영화웹드라마 외 ,스릴러,구실,우아한슬픔,15
85,만화(웹툰)영화 외 ,공포스릴러 외,울,우아한슬픔,17
86,웹드라마영화 ,가족/성장/아동,"사랑,총",우아한슬픔,13
87,기타(TV만화)만화(웹툰) 외 ,미스터리SF/판타지 외,나비와 사자의 키스,김남미,8
88,만화(웹툰)영화 외 ,공포스릴러 외,알바구합니다,우아한슬픔,15
89,만화(웹툰)영화 외 ,공포스릴러 외,터치,우아한슬픔,20
90,웹드라마만화(웹툰) 외 ,공포스릴러 외,오피스의 틈새,우아한슬픔,40
91,웹드라마만화(웹툰) 외 ,로맨스/멜로,사랑의 묘약,악어새,8
92,만화(웹툰)애니메이션 외 ,SF/판타지액션/어드벤쳐 외,이유 있는 반항,김슬기,2
93,만화(웹툰)드라마 외 ,미스터리액션/어드벤쳐 외,여우소동,김슬기,2
94,공연기타(뮤지컬) 외 ,SF/판타지가족/성장/아동 외,뮤지컬 만복네 게스트하우스 (feat. 데우스 엑스 옥황상제),김태현,3
95,출판드라마 외 ,역사픽션(팩션)기타(드라마),조선의 꼽추 정원사,천영미,39
96,만화(웹툰)영화 외 ,공포스릴러 외,좀비의 사생활,soku,11
97,만화(웹툰)영화 외 ,스릴러미스터리 외,Algorithm,soku,8
