광역시도,시군구,행정구,20-39세여자,20-39세합계,65세이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역,ID
강원, 강릉시, ,20993,46008,40497,101154,101903,203057,1.036768155665852,False,강릉
강원, 고성군, ,1699,4006,7005,11933,11688,23621,0.48508208422555316,True,고성(강원)
강원, 동해시, ,7510,16311,16152,42093,41795,83888,0.9299157999009411,True,동해
강원, 삼척시, ,5280,12428,14953,31630,30203,61833,0.7062128001070019,True,삼척
강원, 속초시, ,7411,15928,14010,37488,38814,76302,1.0579586009992863,False,속초
강원, 양구군, ,2016,4656,4123,10272,9628,19900,0.9779286926994907,True,양구
강원, 양양군, ,1810,4020,7405,12599,12526,25125,0.4888588791357191,True,양양
강원, 영월군, ,2227,4983,10051,17530,16812,34342,0.4431399860710377,True,영월
강원, 원주시, ,40779,83196,46837,163155,166719,329874,1.7413156265345773,False,원주
강원, 인제군, ,2739,6320,5793,14807,13412,28219,0.9456240290005179,True,인제
강원, 정선군, ,2222,5007,8810,16876,15852,32728,0.5044267877412032,True,정선
강원, 철원군, ,3767,8373,9045,20255,19892,40147,0.8329463792150359,True,철원
강원, 춘천시, ,32994,66567,44624,129655,136040,265695,1.4787558264610972,False,춘천
강원, 태백시, ,3211,6857,9412,20307,20160,40467,0.6823204419889503,True,태백
강원, 평창군, ,2544,5597,10304,19034,18590,37624,0.4937888198757764,True,평창
강원, 홍천군, ,4987,10966,15824,31608,30923,62531,0.6303083923154702,True,홍천
강원, 화천군, ,2166,5189,4863,11302,10398,21700,0.8908081431215299,True,화천
강원, 횡성군, ,3045,6502,11883,20919,20508,41427,0.5124968442312547,True,횡성
경기, 가평군, ,4848,10406,13649,27803,27446,55249,0.7103817129460034,True,가평
경기, 고양시, 덕양구,58376,115693,60361,212696,221800,434496,1.934229055184639,False,고양 덕양
경기, 고양시, 일산동구,38009,72176,32677,131746,142446,274192,2.3263457477736633,False,고양 일산동
경기, 고양시, 일산서구,35939,68555,33499,134373,145939,280312,2.1456759903280695,False,고양 일산서
경기, 과천시, ,6605,13196,7335,25565,26824,52389,1.8009543285616905,False,과천
경기, 광명시, ,39850,79498,39032,146975,153760,300735,2.0419143267062925,False,광명
경기, 광주시, ,46955,95920,43492,177168,173238,350406,2.1592476777338363,False,광주
경기, 구리시, ,25537,50331,23685,91954,95671,187625,2.1563858982478363,False,구리
경기, 군포시, ,35603,71824,31741,128228,132895,261123,2.2433445701143633,False,군포
경기, 김포시, ,55346,107755,49106,203616,206800,410416,2.2541440964444264,False,김포
경기, 남양주시, ,81508,158873,86857,324619,333791,658410,1.8768320342632143,False,남양주
경기, 동두천시, ,9706,19995,16535,43473,44316,87789,1.1739945570003023,False,동두천
경기, 부천시, ,112536,225145,97382,388300,401532,789832,2.311227947670001,False,부천
경기, 성남시, 분당구,63839,121818,54830,216999,233950,450949,2.328615721320445,False,성남 분당
경기, 성남시, 수정구,31237,64575,33149,110653,110743,221396,1.8846420706506983,False,성남 수정
경기, 성남시, 중원구,28801,59573,30171,104312,104202,208514,1.9091843160650956,False,성남 중원
경기, 수원시, 권선구,53806,109106,36968,178020,178658,356678,2.910950010820169,False,수원 권선
경기, 수원시, 영통구,56846,114114,23901,174245,175263,349508,4.756788418894607,False,수원 영통
경기, 수원시, 장안구,34506,71455,32574,130792,132165,262957,2.118622214035734,False,수원 장안
경기, 수원시, 팔달구,24039,49683,23997,82671,83544,166215,2.0035004375546945,False,수원 팔달
경기, 시흥시, ,62272,130804,38348,232951,218215,451166,3.247731302805883,False,시흥
경기, 안산시, 단원구,40558,84580,27101,148143,144023,292166,2.993099885613077,False,안산 단원
경기, 안산시, 상록구,45514,94432,34801,165899,163934,329833,2.615671963449326,False,안산 상록
경기, 안성시, ,20391,43275,28371,88473,85550,174023,1.4374537379718726,False,안성
경기, 안양시, 동안구,42071,83368,33709,148374,156802,305176,2.496128630336112,False,안양 동안
경기, 안양시, 만안구,32133,65727,34077,115363,117607,232970,1.8859054494233647,False,안양 만안
경기, 양주시, ,24354,49259,30411,103990,103744,207734,1.6016572950577095,False,양주
경기, 양평군, ,9046,18583,25713,52233,52823,105056,0.703612958425699,True,양평
경기, 여주시, ,10328,21655,20924,51516,50560,102076,0.9871917415408143,True,여주
경기, 연천군, ,3506,8293,10094,20488,19189,39677,0.6946701010501288,True,연천
경기, 오산시, ,31630,66228,19071,110191,105448,215639,3.3170782864034396,False,오산
경기, 용인시, 기흥구,53670,104472,49705,200436,208177,408613,2.159541293632431,False,용인 기흥
경기, 용인시, 수지구,45783,87093,44174,166498,176902,343400,2.072848281794721,False,용인 수지
경기, 용인시, 처인구,30645,63708,31962,120595,117156,237751,1.9175896376947625,False,용인 처인
경기, 의왕시, ,19807,40279,19547,74450,76223,150673,2.0266025477055303,False,의왕
경기, 의정부시, ,56859,112160,60671,207441,217658,425099,1.8743386461406604,False,의정부
경기, 이천시, ,25107,52726,27195,101752,98618,200370,1.846442360728075,False,이천
경기, 파주시, ,53801,108645,55828,209760,210828,420588,1.9273841083327363,False,파주
경기, 평택시, ,62961,133390,56414,243253,233776,477029,2.2321055057255292,False,평택
경기, 포천시, ,13697,29729,24626,70116,65663,135779,1.1124015268415497,False,포천
경기, 하남시, ,36174,71746,31299,126779,127749,254528,2.3115115498897727,False,하남
경기, 화성시, ,111668,229274,64048,393408,375548,768956,3.4870097426929805,False,화성
경남, 거제시, ,27750,58101,23216,120346,112239,232585,2.390592694693315,False,거제
경남, 거창군, ,4421,9445,15425,27277,29126,56403,0.57322528363047,True,거창
경남, 고성군, ,3285,7352,14272,23118,23720,46838,0.4603419282511211,True,고성(경남)
경남, 김해시, ,63358,129227,52747,254664,254750,509414,2.4023356778584564,False,김해
경남, 남해군, ,2145,4833,14868,18754,20483,39237,0.2885391444713479,True,남해
경남, 밀양시, ,7788,16579,26056,46631,49576,96207,0.5977893767270495,True,밀양
경남, 사천시, ,9440,20869,21648,51358,51701,103059,0.8721359940872137,True,사천
경남, 산청군, ,1858,3993,11163,15203,16108,31311,0.33288542506494667,True,산청
경남, 양산시, ,42376,85945,41056,163340,166381,329721,2.064302416212003,False,양산
경남, 의령군, ,1579,3323,8713,11453,12458,23911,0.3624469183977964,True,의령
경남, 진주시, ,39596,81837,52845,163346,168862,332208,1.4985712934052418,False,진주
경남, 창녕군, ,4282,9435,16795,27648,28533,56181,0.5099136647811848,True,창녕
경남, 창원시, 마산합포구,18743,39662,32949,83102,85270,168372,1.137697653950044,False,창원 합포
경남, 창원시, 마산회원구,20180,42074,29609,91161,92356,183517,1.3630990577189368,False,창원 회원
경남, 창원시, 성산구,27247,56762,15873,104555,103378,207933,3.4331254331254333,False,창원 성산
경남, 창원시, 의창구,30864,65290,28161,122271,120450,242721,2.1919676147864067,False,창원 의창
경남, 창원시, 진해구,21823,45710,24374,92993,90590,183583,1.7906785919422334,False,창원 진해
경남, 통영시, ,11797,24459,22350,60826,61336,122162,1.0556599552572707,False,통영
경남, 하동군, ,2433,5499,13811,19901,20843,40744,0.3523278546086453,True,하동
경남, 함안군, ,5216,10996,13955,29988,30091,60079,0.747545682551057,True,함안
경남, 함양군, ,2274,4844,11805,16980,18516,35496,0.3852604828462516,True,함양
경남, 합천군, ,2298,5071,15547,19085,21000,40085,0.29561973371068373,True,합천
경북, 경산시, ,32956,70122,39828,127793,128146,255939,1.6549161393994174,False,경산
경북, 경주시, ,23620,51111,50746,119114,120268,239382,0.9309108107042919,True,경주
경북, 고령군, ,2074,4501,8819,14552,14467,29019,0.4703481120308425,True,고령
경북, 구미시, ,54585,116063,35323,201545,194793,396338,3.090620841944342,False,구미
경북, 군위군, ,1141,2621,8360,10491,10370,20861,0.27296650717703347,True,군위
경북, 김천시, ,13073,27713,29105,63978,65687,129665,0.8983336196529806,True,김천
경북, 문경시, ,4766,10167,19266,31547,33285,64832,0.49475760406934494,True,문경
경북, 봉화군, ,1684,3568,10308,14309,14548,28857,0.32673651532790066,True,봉화
경북, 상주시, ,6635,14788,27712,44325,46502,90827,0.4788539260969977,True,상주
경북, 성주군, ,2663,6021,11890,19264,18742,38006,0.4479394449116905,True,성주
경북, 안동시, ,14428,30402,34890,73525,75365,148890,0.8270564631699627,True,안동
경북, 영덕군, ,2086,4489,12502,15906,17809,33715,0.3337066069428891,True,영덕
경북, 영양군, ,879,1865,5674,7531,7741,15272,0.3098343320408883,True,영양
경북, 영주시, ,7880,17125,25317,47843,49466,97309,0.6225066161077537,True,영주
경북, 영천시, ,7971,17393,25552,46027,46704,92731,0.6239041953663118,True,영천
경북, 예천군, ,4179,8502,15336,24733,26009,50742,0.5449921752738655,True,예천
경북, 울릉군, ,632,1506,1972,4436,3764,8200,0.640973630831643,True,울릉
경북, 울진군, ,3309,7500,12405,22032,22240,44272,0.5334945586457074,True,울진
경북, 의성군, ,2597,5802,19316,22823,24310,47133,0.26889625181196936,True,의성
경북, 청도군, ,2271,5033,14261,18446,19772,38218,0.3184909894116822,True,청도
경북, 청송군, ,1324,3120,8408,11451,11580,23031,0.3149381541389153,True,청송
경북, 칠곡군, ,12373,26524,15881,55417,52837,108254,1.558214218248221,False,칠곡
경북, 포항시, 남구,22812,49270,35726,112611,108532,221143,1.2770531265744836,False,포항 남구
경북, 포항시, 북구,27263,56621,41106,125439,129425,254864,1.3264730209701747,False,포항 북구
광주, 광산구, ,54745,108402,33965,195701,196933,392634,3.2236125423229796,False,광주 광산
광주, 남구, ,26643,52095,34372,100399,108734,209133,1.5502734784126615,False,광주 남구
광주, 동구, ,13001,26870,19994,47381,48357,95738,1.3004901470441133,False,광주 동구
광주, 북구, ,56938,115023,58933,208100,214164,422264,1.9322959971493052,False,광주 북구
광주, 서구, ,39602,77733,38366,141373,148608,289981,2.064432049210238,False,광주 서구
대구, 남구, ,18059,36403,31219,67453,73563,141016,1.1569236682789328,False,대구 남구
