|일자|서울|부산|대구|인천|대전|광주|울산|세종|경기|강원|충북|충남|경북|경남|전북|전남|제주|검역|합계
0|20201130|159|52|4|34|5|13|3|1|77|8|22|5|4|20|16|4|1|10|438
1|20201129|150|22|3|22|6|8|0|3|101|19|23|13|11|15|17|19|1|17|450
2|20201128|178|28|1|25|13|16|3|0|126|33|24|17|5|14|9|7|2|3|504
3|20201127|204|24|0|25|5|13|7|3|117|9|20|31|3|39|24|11|3|31|569
4|20201126|213|22|1|19|1|14|7|4|183|8|8|16|2|45|16|9|3|12|583
5|20201125|142|18|5|40|4|14|3|0|82|13|3|18|3|11|8|8|3|7|382
6|20201124|133|6|3|17|0|3|2|2|81|46|3|8|9|3|15|7|1|10|349
7|20201123|112|5|2|23|3|1|1|1|76|12|0|9|4|2|9|5|1|5|271
8|20201122|121|1|1|27|0|8|1|0|75|13|0|13|6|19|12|13|0|20|330
9|20201121|156|7|1|22|1|7|1|0|93|15|1|21|8|11|14|19|0|9|386
10|20201120|132|2|1|30|0|4|0|0|73|24|2|15|10|18|13|14|2|23|363
11|20201119|109|5|2|12|1|8|0|0|64|20|4|13|8|28|2|28|0|39|343
12|20201118|92|5|2|12|1|9|3|0|87|5|0|7|16|9|0|15|0|50|313
13|20201117|90|0|3|13|1|18|0|1|52|13|0|9|3|3|0|16|0|8|230
14|20201116|81|0|0|10|3|4|0|1|42|20|3|6|14|4|1|10|1|23|223
15|20201115|85|0|1|2|0|9|0|0|45|19|8|5|2|3|2|9|0|18|208
16|20201114|69|4|0|1|2|8|0|1|49|18|0|11|0|4|4|13|0|21|205
17|20201113|74|0|1|4|0|5|0|1|47|23|1|8|0|3|0|9|1|14|191
18|20201112|53|2|3|2|2|6|1|0|35|6|1|9|1|4|0|8|1|9|143
19|20201111|45|3|0|1|1|4|0|0|53|9|2|7|0|11|1|1|0|8|146
20|20201110|35|1|1|3|0|5|0|0|33|3|2|4|1|2|0|2|0|8|100
21|20201109|46|2|6|2|0|1|0|0|22|11|4|10|1|4|4|2|0|11|126
22|20201108|54|0|7|3|1|2|1|0|25|9|2|9|2|10|0|4|0|14|143
23|20201107|37|2|1|1|1|0|0|0|21|4|0|9|0|5|0|0|0|8|89
24|20201106|40|0|0|0|0|0|0|0|47|7|0|25|1|13|1|0|0|11|145
25|20201105|50|4|2|5|0|0|0|0|27|1|2|23|0|5|0|0|0|6|125
26|20201104|42|1|2|4|1|0|1|0|43|0|0|10|2|0|0|0|1|11|118
27|20201103|22|1|0|1|0|2|0|0|27|1|1|7|0|1|0|0|0|12|75
28|20201102|25|0|3|2|0|0|1|0|41|1|2|11|1|1|0|2|0|7|97
29|20201101|45|0|2|4|0|3|0|0|38|3|1|9|0|2|0|3|0|14|124
30|20201031|52|2|9|3|0|0|0|3|27|0|0|5|0|1|0|0|0|25|127
31|20201030|48|0|10|3|0|0|2|0|32|6|2|3|0|1|2|1|0|4|114
32|20201029|36|0|3|5|0|2|2|0|58|7|0|1|1|0|1|0|0|9|125
33|20201028|25|0|2|10|7|0|0|0|31|14|0|1|5|3|3|0|0|2|103
34|20201027|24|1|0|2|5|0|0|0|35|6|1|1|0|5|0|3|0|5|88
35|20201026|20|0|0|3|1|0|1|1|67|0|2|1|3|3|0|0|0|17|119
36|20201025|17|1|1|0|1|0|1|0|27|0|0|2|0|2|0|0|0|9|61
37|20201024|22|0|0|2|5|0|0|0|35|0|0|5|0|0|0|2|0|6|77
38|20201023|20|0|5|5|0|6|0|0|103|1|0|4|0|0|2|1|0|8|155
39|20201022|18|5|2|4|0|0|0|0|67|2|0|11|1|0|2|0|0|9|121
40|20201021|17|10|0|6|4|1|1|0|24|2|1|0|2|0|0|1|0|22|91
41|20201020|11|2|0|3|1|0|0|0|28|3|2|2|2|1|0|0|0|3|58
42|20201019|14|15|0|5|2|2|0|0|18|1|1|2|2|1|1|0|0|12|76
43|20201018|20|4|0|1|1|0|0|0|50|2|0|0|0|0|0|0|0|13|91
44|20201017|18|6|1|2|0|1|0|0|32|3|0|2|0|2|0|1|0|5|73
45|20201016|18|0|0|4|2|0|0|0|17|0|0|1|0|0|2|0|0|3|47
46|20201015|25|55|0|11|1|0|0|0|8|1|1|0|1|0|1|0|0|6|110
47|20201014|23|2|0|8|4|0|1|0|31|0|0|1|0|0|0|0|0|14|84
48|20201013|20|1|1|0|10|2|0|0|38|4|1|2|1|0|1|0|0|21|102
49|20201012|31|4|0|3|13|1|0|0|29|1|0|2|1|1|2|0|0|9|97
50|20201011|23|3|1|1|2|0|1|0|21|2|0|1|0|0|0|0|0|3|58
51|20201010|25|3|1|8|1|0|0|0|24|0|0|3|0|0|0|2|0|5|72
52|20201009|22|5|1|0|5|0|0|0|12|0|1|0|0|1|0|1|0|6|54
53|20201008|20|5|0|5|7|0|0|0|24|0|1|0|1|3|0|0|0|3|69
54|20201007|33|2|1|6|2|0|1|1|53|0|0|0|0|0|8|0|0|7|114
55|20201006|15|3|0|4|3|0|1|0|35|0|0|0|0|0|9|0|0|5|75
56|20201005|19|5|1|5|1|0|4|1|27|0|1|2|1|1|3|0|0|2|73
57|20201004|16|5|2|6|2|1|1|0|16|0|2|0|4|0|0|0|0|9|64
58|20201003|26|8|0|7|2|0|0|0|10|0|1|1|2|0|1|3|0|14|75
59|20201002|11|18|0|4|0|0|0|0|19|0|0|1|4|0|0|0|0|6|63
60|20201001|30|6|1|3|0|0|0|0|21|0|1|3|5|0|0|1|0|6|77
61|20200930|51|5|2|4|2|3|1|0|26|0|0|5|6|0|3|0|0|5|113
62|20200929|11|3|0|0|0|0|0|0|10|0|1|2|2|0|0|0|0|9|38
63|20200928|19|1|0|1|0|0|1|0|14|1|1|0|4|1|0|0|0|7|50
64|20200927|34|3|0|9|0|2|0|1|21|0|2|2|6|1|2|1|0|11|95
65|20200926|26|2|1|1|1|0|0|0|14|0|0|0|3|1|3|0|0|9|61
66|20200925|57|3|0|3|0|2|0|1|27|1|3|1|6|1|3|0|0|6|114
67|20200924|39|7|1|10|1|0|0|3|48|2|2|1|2|1|1|1|1|5|125
68|20200923|40|7|3|5|0|2|2|0|30|1|2|5|6|0|1|0|0|6|110
69|20200922|21|5|0|2|0|0|1|1|20|2|2|0|4|1|0|0|0|2|61
70|20200921|23|8|1|2|2|1|0|0|18|0|2|0|1|2|0|0|0|10|70
